,Exp,Folder,Mode,Frame,MeanR,VarR,MinR,Q1R,MedR,Q3R,MaxR,SkewR,KurtR,PtsR,MeanSig,VarSig,MinSig,Q1Sig,MedSig,Q3Sig,MaxSig,SkewSig,KurtSig,PtsSig,MeanRef,VarRef,MinRef,Q1Ref,MedRef,Q3Ref,MaxRef,SkewRef,KurtRef,PtsRef,MeanIR,VarIR,MinIR,Q1IR,MedIR,Q3IR,MaxIR,SkewIR,KurtIR,PtsIR
1901,18_09_2024_2gSodium,01_Full,Degen,1901,12.24062042236328,8719.409097509362,0.0,0.0,0.0,0.0,925.0,8.107107898359551,66.06141785684669,1420,3.5143249511718757,695.040542476438,0.0,0.0,0.0,0.0,1257.4,15.754200860310887,387.1560539317789,14560,0.42570800781249996,20.616854967474932,0.0,0.0,0.0,0.0,144.1,16.01182350784058,309.58635091991266,1440,215.28085021972655,174733.46816447488,0.0,0.0,0.0,0.0,2136.4,1.6079075956808961,1.0770946709188474,14560
1902,18_09_2024_2gSodium,01_Full,Degen,1902,12.221061706542969,8703.258686500953,0.0,0.0,0.0,0.0,924.7,8.121908159635781,66.33467224788436,1419,3.511549377441406,692.4202534221834,0.0,0.0,0.0,0.0,1254.9,15.692481693858761,382.47601635051655,14560,0.4251022338867188,20.565242833176164,0.0,0.0,0.0,0.0,143.9,16.0149436101948,309.5772531338857,1443,215.0938537597656,174418.7097229659,0.0,0.0,0.0,0.0,2138.6,1.607709349340004,1.0762578920321948,14560
1903,18_09_2024_2gSodium,01_Full,Degen,1903,12.31766357421875,8793.099988901467,0.0,0.0,0.0,0.0,925.7,8.081811817651944,65.60932721083178,1421,3.530293273925781,699.9033149530529,0.0,0.0,0.0,0.0,1278.2,15.76512778494425,388.63054116180376,14560,0.42699432373046875,20.730426549406257,0.0,0.0,0.0,0.0,145.1,16.031644033964408,310.3822674909804,1444,215.17918243408204,174553.25359510185,0.0,0.0,0.0,0.0,2143.7,1.6076192867137284,1.0758380398154301,14560
1904,18_09_2024_2gSodium,01_Full,Degen,1904,12.302259826660155,8750.791129078974,0.0,0.0,0.0,0.0,927.1,8.089465197987993,65.81590351366462,1426,3.5331008911132815,700.8346192052751,0.0,0.0,0.0,0.0,1272.5,15.773583653689018,388.18825661960085,14560,0.42776947021484385,20.76610736604548,0.0,0.0,0.0,0.0,144.8,16.008419994965443,309.38134566051207,1448,215.31902923583982,174799.2314587195,0.0,0.0,0.0,0.0,2144.6,1.6079102742003752,1.0768395910342123,14560
1905,18_09_2024_2gSodium,01_Full,Degen,1905,12.363948059082032,8844.674700166,0.0,0.0,0.0,0.0,925.2,8.056701869281607,65.14274533638549,1419,3.5359939575195307,704.125255796106,0.0,0.0,0.0,0.0,1275.1,15.805878656694922,389.922874259597,14560,0.4288772583007813,20.898592526072175,0.0,0.0,0.0,0.0,144.9,16.01751734325184,309.476468905238,1440,215.32458648681643,174811.98816671438,0.0,0.0,0.0,0.0,2139.8,1.607999640852778,1.077274414221291,14560
1906,18_09_2024_2gSodium,01_Full,Degen,1906,12.257743835449219,8733.944878082328,0.0,0.0,0.0,0.0,924.8,8.103280571833311,66.01605457745718,1412,3.5212738037109372,698.2617218027173,0.0,0.0,0.0,0.0,1264.0,15.7903520360045,388.70409738185487,14560,0.4270065307617188,20.72579393220833,0.0,0.0,0.0,0.0,144.4,16.05218382127081,311.25086642613223,1435,215.0765670776367,174403.9988947153,0.0,0.0,0.0,0.0,2160.4,1.6078829385520885,1.076870542789039,14560
1907,18_09_2024_2gSodium,01_Full,Degen,1907,12.340391540527344,8791.372020714616,0.0,0.0,0.0,0.0,924.1,8.073186279591688,65.4948170065947,1421,3.5394409179687503,701.462531633228,0.0,0.0,0.0,0.0,1285.5,15.775183561953705,390.012840509852,14560,0.42873687744140626,20.776530301494052,0.0,0.0,0.0,0.0,145.5,15.981963758064746,308.68369047677953,1441,215.1143539428711,174449.93619762032,0.0,0.0,0.0,0.0,2149.4,1.6075959432188938,1.0755478569721868,14560
1908,18_09_2024_2gSodium,01_Full,Degen,1908,12.374169921875,8799.933937604425,0.0,0.0,0.0,0.0,925.6,8.062467524715382,65.36833102689967,1434,3.545953369140625,702.8971219914779,0.0,0.0,0.0,0.0,1270.9,15.685104161193909,383.90151350382445,14560,0.430029296875,20.870335729122157,0.0,0.0,0.0,0.0,144.8,15.956139659497982,307.1963465656627,1455,215.21551666259765,174637.8773597886,0.0,0.0,0.0,0.0,2140.5,1.6080239751668415,1.0774134855670878,14560
1909,18_09_2024_2gSodium,01_Full,Degen,1909,12.350604248046874,8779.042920167109,0.0,0.0,0.0,0.0,926.1,8.076471448899325,65.62117520559173,1438,3.549900817871093,708.4959362694597,0.0,0.0,0.0,0.0,1297.7,15.821919479913616,392.3171166732903,14560,0.4312408447265625,21.03916103354656,0.0,0.0,0.0,0.0,146.2,15.967568640804897,307.48963268101977,1457,215.36253051757814,174871.85147201444,0.0,0.0,0.0,0.0,2144.8,1.608008634544349,1.0775055702518879,14560
1910,18_09_2024_2gSodium,01_Full,Degen,1910,12.435820007324217,8877.427948036693,0.0,0.0,0.0,0.0,926.7,8.030405549436596,64.76858270807332,1414,3.5618118286132816,709.8829979929119,0.0,0.0,0.0,0.0,1282.7,15.74372337687651,387.7954763707355,14560,0.43322753906249994,21.098449763655662,0.0,0.0,0.0,0.0,145.3,15.932816106581972,306.3357726305653,1440,215.17047271728515,174556.27598498165,0.0,0.0,0.0,0.0,2142.9,1.6080138704759732,1.0779720065913239,14560
